docid,halId_s,version_i,docType_s,citationFull_s,citationRef_s
3418128,hal-02924134,1,COMM,"Manuel Zacklad, Orélie Desfriches-Doria, Gilles Bertin, Sylvain Mahé, Benoit Ricard, et al.. Miipa-Doc : gestion de l'hétérogénéité des classifications documentaires en entreprise. <i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.323-333. <a target=""_blank"" href=""https://utt.hal.science/hal-02924134v1"">&#x27E8;hal-02924134&#x27E9;</a>","<i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.323-333"
5217039,halshs-01701210,1,COMM,"Orélie Desfriches Doria, Fagot Christophe. Visualisation d’information à base de modèles pour l’argumentation. <i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.199-214. <a target=""_blank"" href=""https://shs.hal.science/halshs-01701210v1"">&#x27E8;halshs-01701210&#x27E9;</a>","<i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.199-214"
5194671,hal-05194671,1,COMM,"Calixte Xaviera, Gaëlle Baudoux, Samia Ben Rajeb, Pierre Leclercq. Analyse des activités complexes de conception médiatisée : identification des ressources dans l'usage d'outils. <i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbéliard, France. pp.89-101. <a target=""_blank"" href=""https://hal.science/hal-05194671v1"">&#x27E8;hal-05194671&#x27E9;</a>","<i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbéliard, France. pp.89-101"
5193385,hal-02637815,1,COMM,"Brigitte Juanals. Analyse de la circulation de l’information sur Twitter lors d’un événement culturel : une approche communicationnelle. <i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Laboratoire Paragraphe; Crem; ELLIADD; Dicen IDF; DeVisu, Oct 2017, Valenciennes, France. pp.93-111. <a target=""_blank"" href=""https://hal.science/hal-02637815v1"">&#x27E8;hal-02637815&#x27E9;</a>","<i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Laboratoire Paragraphe; Crem; ELLIADD; Dicen IDF; DeVisu, Oct 2017, Valenciennes, France. pp.93-111"
5190151,hal-05190151,1,COMM,"Eve Ross. Colline : un environnement collaboratif pour la conception d'un journal. <i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.181-193. <a target=""_blank"" href=""https://hal.science/hal-05190151v1"">&#x27E8;hal-05190151&#x27E9;</a>","<i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.181-193"
5191436,hal-03230604,1,COMM,"Gloria Awad. Méta-contenus et événement. Réécritures journalistiques numériques. <i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.305-312. <a target=""_blank"" href=""https://univ-artois.hal.science/hal-03230604v1"">&#x27E8;hal-03230604&#x27E9;</a>","<i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.305-312"
5191503,hal-01314491,1,COMM,"Mohamed Sakho Jimbira. La protection des données recueillies auprès d’utilisateurs musulmans français sur Facebook : des enjeux qui dépassent les considérations déontologiques. <i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.133-144. <a target=""_blank"" href=""https://hal.science/hal-01314491v1"">&#x27E8;hal-01314491&#x27E9;</a>","<i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.133-144"
5190067,sic_01780680,1,COMM,"Christine Bréandon, Franck Renucci. Design d’interface web et interactivité : un corps graphique révélé. <i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.243-256. <a target=""_blank"" href=""https://archivesic.ccsd.cnrs.fr/sic_01780680v1"">&#x27E8;sic_01780680&#x27E9;</a>","<i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.243-256"
3430046,hal-03259992,1,COMM,"Nour El Mawas, Jean-Pierre Cahier, Aurélien Bénel. Vers des jeux sérieux massivement participatifs permettant une co-conception des règles par les acteurs. <i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.79-92. <a target=""_blank"" href=""https://hal.science/hal-03259992v1"">&#x27E8;hal-03259992&#x27E9;</a>","<i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.79-92"
5188650,hal-05188650,1,COMM,"Sophie Lavaud-Forest. Un exemple de Système-Multi-Agents appliqué à la création artistique. <i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.419-425. <a target=""_blank"" href=""https://hal.science/hal-05188650v1"">&#x27E8;hal-05188650&#x27E9;</a>","<i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.419-425"
5188658,hal-05188658,1,COMM,"Manuel Zacklad, Dominique Laousse. Quels dispositifs informationnels pour la mobilité urbaine ? Une approche basée sur la documentarisation participative des itinéraires. <i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.383-396. <a target=""_blank"" href=""https://hal.science/hal-05188658v1"">&#x27E8;hal-05188658&#x27E9;</a>","<i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.383-396"
5191393,hal-05191393,1,COMM,"Sarah Labelle, Marion Rollandin. Sociabilité dans les jeux multijoueurs en ligne Sociabilité dans les jeux multijoueurs en ligne. Processus managériaux au sein des collectifs. <i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.393-404. <a target=""_blank"" href=""https://hal.science/hal-05191393v1"">&#x27E8;hal-05191393&#x27E9;</a>","<i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.393-404"
2080448,hal-02080448,1,COMM,"Marida Di Crosta, Alain Balseiro. L’effet détail séducteur. La pratique du détail comme forme d’appropriation informelle de dispositifs hypermédias. <i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.281-290. <a target=""_blank"" href=""https://hal.science/hal-02080448v1"">&#x27E8;hal-02080448&#x27E9;</a>","<i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.281-290"
4254266,hal-04138347,1,COMM,"Adrien Fallot, Aurélien Bénel, Ines Di Loreto. Cadre de conception et de rétro-conception de dispositifs de visite autonome. <i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.201-217. <a target=""_blank"" href=""https://hal.science/hal-04138347v1"">&#x27E8;hal-04138347&#x27E9;</a>","<i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.201-217"
2552546,hal-02552546,1,COMM,"Julien Maitre, Michel Ménard, Alain Bouju, Guillaume Chiron. Recherche de signaux faibles dans un contexte d’investigation numérique. <i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbéliard, France. pp.200-215. <a target=""_blank"" href=""https://hal.science/hal-02552546v1"">&#x27E8;hal-02552546&#x27E9;</a>","<i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbéliard, France. pp.200-215"
5190211,hal-05190211,1,COMM,"Aude Seurrat, Luc Ploquin. Le secteur de l'énergie au prisme du jeu vidéo : le cas des « serious games » sur l'énergie. <i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.105-116. <a target=""_blank"" href=""https://hal.science/hal-05190211v1"">&#x27E8;hal-05190211&#x27E9;</a>","<i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.105-116"
2331579,hal-02331579,1,PROCEEDINGS,"Ioan Roxin, Imad Saleh, Nasreddine Bouhai, Sylvie Leleu-Merviel, Yves Jeanneret, et al.. H2PTM’19. De l’hypertexte aux humanités numériques. <i>H2PTM’19 : de l’hypertexte aux humanités numériques</i>, Oct 2019, Montbéliard, France. Iste Ed., 2019, 9781784056513; 9781784066512. <a target=""_blank"" href=""https://hal.univ-lorraine.fr/hal-02331579v1"">&#x27E8;hal-02331579&#x27E9;</a>","<i>H2PTM’19 : de l’hypertexte aux humanités numériques</i>, Oct 2019, Montbéliard, France. Iste Ed., 2019, 9781784056513; 9781784066512"
5190092,hal-05190092,1,COMM,"Alexandra Saemmer, Philippe Bootz, Raja Fenniche, Sami Hachicha. Approches sémiotiques et interculturelles d'un site web tunisien. <i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.215-228. <a target=""_blank"" href=""https://hal.science/hal-05190092v1"">&#x27E8;hal-05190092&#x27E9;</a>","<i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.215-228"
5214769,hal-05190242,1,COMM,"Nathalie Tornay, Frédéric Bonneaud, Luc Adolphe, Sarah Meslem. Navigation au sein d'un outil d'aide à la conception basé sur l'activité référentielle. Exemple des modes opératoires des concepteurs propres aux choix de matériaux de construction. <i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.71-76. <a target=""_blank"" href=""https://hal.science/hal-05190242v1"">&#x27E8;hal-05190242&#x27E9;</a>","<i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.71-76"
5188665,hal-05188665,1,COMM,"Joana Ziller, Maria Aparecida Moura. Information Quality in Brazilian News Portals: a Semiotic Approach. <i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.313-322. <a target=""_blank"" href=""https://hal.science/hal-05188665v1"">&#x27E8;hal-05188665&#x27E9;</a>","<i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.313-322"
5188716,hal-05188716,1,COMM,"Samuel Parfouru, Rodolphe Beck. De l'écriture d'un document à la génération d'un hypertexte décisionnel. Analyse et instrumentation du cycle de vie d'un tableau de bord de pilotage. <i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.47-58. <a target=""_blank"" href=""https://hal.science/hal-05188716v1"">&#x27E8;hal-05188716&#x27E9;</a>","<i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.47-58"
5191448,hal-05191448,1,COMM,"Ji Eun Park. Médiation des œuvres nouveaux médias dans les institutions muséales. Le cas du net art. <i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.273-286. <a target=""_blank"" href=""https://hal.science/hal-05191448v1"">&#x27E8;hal-05191448&#x27E9;</a>","<i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.273-286"
5191485,hal-05191485,1,COMM,"Nathalie Lacelle, Monique Lebrun. De l'hypotexte à l'hypermédia : illustrations du processus d'écriture hypertextuelle multimodale. <i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.21-35. <a target=""_blank"" href=""https://hal.science/hal-05191485v1"">&#x27E8;hal-05191485&#x27E9;</a>","<i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.21-35"
5193465,hal-05193465,1,COMM,"Fanny Georges, Antoine Seilles, Guillaume Artignan, Bérenger Arnaud, Mountaz Hascoët, et al.. Sémiotique et visualisation de l'identité numérique : une étude comparée de Facebook et Myspace. <i>H2PTM 2009 - Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.257-268. <a target=""_blank"" href=""https://hal.science/hal-05193465v1"">&#x27E8;hal-05193465&#x27E9;</a>","<i>H2PTM 2009 - Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.257-268"
5196039,hal-04435522,1,COMM,"Douniazed Chibane, Hafida Boulekbache-Mazouz. Cartographie et plateforme collaboratives au service d’une expérience territoriale de médiation. <i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.183-193. <a target=""_blank"" href=""https://hal.science/hal-04435522v1"">&#x27E8;hal-04435522&#x27E9;</a>","<i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.183-193"
5196056,hal-05196056,1,COMM,"Renée Bourassa, Jean-Marc Larrue, Fabien Richert. Magicalité, simulation et intelligence artificielle : formes et enjeux des puissances contemporaines de l'illusion. <i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.148-163. <a target=""_blank"" href=""https://hal.science/hal-05196056v1"">&#x27E8;hal-05196056&#x27E9;</a>","<i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.148-163"
5191412,hal-05191412,1,COMM,"Vincenza Ferrara, Francesco Lella, Saverio Giulio Malatesta. Tools to re-use museum resources in educational environment. <i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.363-372. <a target=""_blank"" href=""https://hal.science/hal-05191412v1"">&#x27E8;hal-05191412&#x27E9;</a>","<i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.363-372"
5193403,hal-02150197,1,COMM,"Pauline Brouard, Marion Rollandin. L’amateur-professionnalisé : compétences et enjeux communicationnels. Captation des publics dans les dispositifs médiatisés. <i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Oct 2017, Valenciennes, France. pp.331-346. <a target=""_blank"" href=""https://hal.science/hal-02150197v1"">&#x27E8;hal-02150197&#x27E9;</a>","<i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Oct 2017, Valenciennes, France. pp.331-346"
5196067,hal-04296175,1,COMM,"Aymeric Bouchereau, Antonin Segault. Une synthèse raisonnée de l'IA ? Usage des références bibliographiques des articles de Wikipédia sur l'Intelligence artificielle. <i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.117-131. <a target=""_blank"" href=""https://hal.science/hal-04296175v1"">&#x27E8;hal-04296175&#x27E9;</a>","<i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.117-131"
5196091,hal-04724311,1,COMM,"Charles-Alexandre Delestage, Willy Yvart. Visualisation des transferts émotionnels de cohortes – Étude de cas sur la notion de non-violence. <i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.83-98. <a target=""_blank"" href=""https://hal.science/hal-04724311v1"">&#x27E8;hal-04724311&#x27E9;</a>","<i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.83-98"
5194884,hal-05194884,1,COMM,"Mathilde Sarré-Charrier. La désinformation en prospective créative : analyse des artefacts médiateurs de désinformation via la Sémiotique des Transactions Coopératives (S.T.C.). <i>H2PTM'21 : Information : enjeux et nouveaux défis</i>, Oct 2021, Aubervilliers, France. pp.249-251. <a target=""_blank"" href=""https://hal.science/hal-05194884v1"">&#x27E8;hal-05194884&#x27E9;</a>","<i>H2PTM'21 : Information : enjeux et nouveaux défis</i>, Oct 2021, Aubervilliers, France. pp.249-251"
5189998,sic_01794626,1,COMM,"Christine Bréandon, Samy Ben Amor. Le design dans l'enseignement à distance : de la contextualisation médiatisée et médiatée. <i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Université Paul Verlaine-Metz; Université Paris 8, Oct 2011, Metz, France. pp.303-314. <a target=""_blank"" href=""https://archivesic.ccsd.cnrs.fr/sic_01794626v1"">&#x27E8;sic_01794626&#x27E9;</a>","<i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Université Paul Verlaine-Metz; Université Paris 8, Oct 2011, Metz, France. pp.303-314"
4716220,hal-04071742,1,COMM,"Samuel Gantier. Quel design d’interaction pour le web-documentaire ? Proposition de typologie interactionnelle de la production sur la décennie 2005-2015. <i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.258-272. <a target=""_blank"" href=""https://uphf.hal.science/hal-04071742v1"">&#x27E8;hal-04071742&#x27E9;</a>","<i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.258-272"
3454373,hal-03452769,1,COMM,"Anne Cordier. Des formats d'information : Une mise à l'épreuve critique de l'expérience informationnelle. <i>H2PTM'21 : Information : enjeux et nouveaux défis</i>, Laboratoire Paragraphe (Université Paris 8), Oct 2021, Paris, France. pp.39-56. <a target=""_blank"" href=""https://hal.univ-lorraine.fr/hal-03452769v1"">&#x27E8;hal-03452769&#x27E9;</a>","<i>H2PTM'21 : Information : enjeux et nouveaux défis</i>, Laboratoire Paragraphe (Université Paris 8), Oct 2021, Paris, France. pp.39-56"
5188649,hal-05188649,1,COMM,"Anne Laforet. Net artistes et stratégies de conservation de leurs œuvres. <i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.427-439. <a target=""_blank"" href=""https://hal.science/hal-05188649v1"">&#x27E8;hal-05188649&#x27E9;</a>","<i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.427-439"
5191387,hal-05191387,1,COMM,"Lubna Odeh, Prado Cécile Le. Pervasive Games: Design Needs and Authoring Tools Requirements. <i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.405-418. <a target=""_blank"" href=""https://hal.science/hal-05191387v1"">&#x27E8;hal-05191387&#x27E9;</a>","<i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.405-418"
4749747,hal-04300485,1,COMM,"Ugo Verdi, Orélie Desfriches Doria. Information Literacy : une exploration hypertextuelle. <i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbéliard (Doubs), France. pp.22-46. <a target=""_blank"" href=""https://hal.science/hal-04300485v1"">&#x27E8;hal-04300485&#x27E9;</a>","<i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbéliard (Doubs), France. pp.22-46"
5196117,hal-05196117,1,COMM,"Kevin Beaufils, Etienne Armand Amato, Etienne Perény. Produire du sens pour faire corps avec son avatar volant autoscopique : comparaison du sentiment d'immersion médiatique et de contrôle interactif entre néophytes et experts. <i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.03-18. <a target=""_blank"" href=""https://hal.science/hal-05196117v1"">&#x27E8;hal-05196117&#x27E9;</a>","<i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.03-18"
4075026,hal-04075026,1,COMM,"Luc Dall'Armellina. Hypertexte &amp; hypermodernité. <i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.17-30. <a target=""_blank"" href=""https://hal.science/hal-04075026v1"">&#x27E8;hal-04075026&#x27E9;</a>","<i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.17-30"
2321626,hal-02321626,1,COMM,"Alexandra Saemmer, Nolwenn Tréhondart. Le design éditorial des livres d'art numériques, au prisme de leurs pratiques de conception et de réception. <i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Laboratoire Paragraphe (Université Paris 8 Vincennes-Saint-Denis, Université de Cergy-Pontoise); Gripic (Celsa); DeVisu (Université de Valenciennes); Dicen IDF (Conservatoire national des arts et métiers, Université Paris-Est Marne-la-Vallée, Université Paris-Nanterre); Elliadd (Université de Franche-Comté); Centre de recherche sur les médiations (Crem, Université de Lorraine), Oct 2017, Valenciennes, France. pp.187-206. <a target=""_blank"" href=""https://hal.science/hal-02321626v1"">&#x27E8;hal-02321626&#x27E9;</a>","<i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Laboratoire Paragraphe (Université Paris 8 Vincennes-Saint-Denis, Université de Cergy-Pontoise); Gripic (Celsa); DeVisu (Université de Valenciennes); Dicen IDF (Conservatoire national des arts et métiers, Université Paris-Est Marne-la-Vallée, Université Paris-Nanterre); Elliadd (Université de Franche-Comté); Centre de recherche sur les médiations (Crem, Université de Lorraine), Oct 2017, Valenciennes, France. pp.187-206"
5190233,hal-05190233,1,COMM,"Sarah Labelle, Olivier Mauco, Alban Grégoire. Penser l'hétérogénéité des médiations dans un « serious game ». Rôles du scénario et du game design. <i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.93-104. <a target=""_blank"" href=""https://hal.science/hal-05190233v1"">&#x27E8;hal-05190233&#x27E9;</a>","<i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.93-104"
3138373,hal-03138373,1,COMM,"Marc Veyrat, Franck Soudan. WWWell.com in U-rss / L’art de l’hyperportrait : entre donnée et information. <i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.207-212. <a target=""_blank"" href=""https://hal.science/hal-03138373v1"">&#x27E8;hal-03138373&#x27E9;</a>","<i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.207-212"
1314409,hal-01314409,1,PROCEEDINGS,"Imad Saleh, Valerie Carayol, Sylvie Leleu-Merviel, Luc Massou, Ioan Roxin, et al.. Le numérique à l’ère de l’Internet des objets, de l’hypertexte à l’hyper-objet. <i>H2PTM’15</i>, Oct 2015, Paris, France. ISTE, 2015, Systèmes d'information, web et société, 978-1-78405-115-0. <a target=""_blank"" href=""https://hal.science/hal-01314409v1"">&#x27E8;hal-01314409&#x27E9;</a>","<i>H2PTM’15</i>, Oct 2015, Paris, France. ISTE, 2015, Systèmes d'information, web et société, 978-1-78405-115-0"
5193305,hal-05193305,1,COMM,"Etienne Armand Amato, Etienne Perény, Alain Berthoz. Une étude de l'immersion avatariale à l'œuvre dans les médias cybernétiques (jeux vidéo, réalité virtuelle) grâce au design d'une « hyper-expérience » de bilocalisation. <i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Oct 2017, Valenciennes, France. pp.03-19. <a target=""_blank"" href=""https://hal.science/hal-05193305v1"">&#x27E8;hal-05193305&#x27E9;</a>","<i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Oct 2017, Valenciennes, France. pp.03-19"
1768318,sic_00395452,1,COMM,"Guillaume Loizillon, Hervé Zénouda. Trace Label, une expérience d'un micro-label indépendant face à la dématérialisation du sonore enregistré. <i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Université Paris 8, Sep 2009, Paris, France. pp.441-449. <a target=""_blank"" href=""https://archivesic.ccsd.cnrs.fr/sic_00395452v1"">&#x27E8;sic_00395452&#x27E9;</a>","<i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Université Paris 8, Sep 2009, Paris, France. pp.441-449"
5194909,hal-05194909,1,COMM,"Aurélie Aubert. Information et réseaux sociaux numériques : une transformation des logiques de programmation avec les outils de veille sociale. <i>H2PTM'21 : Information : enjeux et nouveaux défis</i>, Oct 2021, Aubervilliers, France. pp.141-153. <a target=""_blank"" href=""https://hal.science/hal-05194909v1"">&#x27E8;hal-05194909&#x27E9;</a>","<i>H2PTM'21 : Information : enjeux et nouveaux défis</i>, Oct 2021, Aubervilliers, France. pp.141-153"
5194890,hal-03452766,1,COMM,"Marie Chagnoux, Raphael da Silva, Faten El Outa, Nicolas Labroche, Patrick Marcel, et al.. Modéliser la démarche du data journaliste : une approche nécessairement transdisciplinaire. <i>H2PTM'21 : Information : enjeux et nouveaux défis</i>, Oct 2021, Aubervilliers, France. pp.154-168. <a target=""_blank"" href=""https://hal.science/hal-03452766v1"">&#x27E8;hal-03452766&#x27E9;</a>","<i>H2PTM'21 : Information : enjeux et nouveaux défis</i>, Oct 2021, Aubervilliers, France. pp.154-168"
5194650,hal-05194650,1,COMM,"Claude Baltz. ""Exformation"" : Au cœur des humanités numériques ? Une contribution à l'écologie de l'information. <i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbéliard, France. pp.275-300. <a target=""_blank"" href=""https://hal.science/hal-05194650v1"">&#x27E8;hal-05194650&#x27E9;</a>","<i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbéliard, France. pp.275-300"
3419892,hal-03419892,1,COMM,"Gérald Kembellec. Intelligibilité multimodale de l'hypertexte érudit : le rôle du documentaliste. Une nécessaire collaboration pour la documentarisation sérielle dans la chaîne éditoriale scientifique. <i>H2PTM'21 : Information : enjeux et nouveaux défis</i>, Oct 2021, Paris, France. pp.233-246. <a target=""_blank"" href=""https://hal.science/hal-03419892v1"">&#x27E8;hal-03419892&#x27E9;</a>","<i>H2PTM'21 : Information : enjeux et nouveaux défis</i>, Oct 2021, Paris, France. pp.233-246"
2318358,hal-02313625,1,COMM,"Aurélien Bénel. 15 ans de Web 2.0 : Imitation pop ou extension du domaine de l'Hypermédia ?. <i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbéliard, France. pp.111-125. <a target=""_blank"" href=""https://hal.science/hal-02313625v1"">&#x27E8;hal-02313625&#x27E9;</a>","<i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbéliard, France. pp.111-125"
2409701,hal-02409701,1,COMM,"Frédérick Bigrat, Cécile Méadel, Mélody Laurent. Réalisation de MOOC en France entre 2012 et 2019 : impact sur les pratiques pédagogiques des enseignants-chercheurs impliqués dans leur conception. <i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbélliard, France. pp.355-367. <a target=""_blank"" href=""https://hal.science/hal-02409701v1"">&#x27E8;hal-02409701&#x27E9;</a>","<i>H2PTM'19 : De l’hypertexte aux humanités numériques</i>, Oct 2019, Montbélliard, France. pp.355-367"
1638054,hal-01638054,1,COMM,"Anne Lehmans, ​stéphanie ​ Cardoso​. Datavisualisation des données ouvertes et design pédagogique​ ​ dans​ ​ les​ ​ formats​ ​ de​ ​ connaissances. <i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Oct 2017, Valenciennes, France. pp.293-306. <a target=""_blank"" href=""https://hal.science/hal-01638054v1"">&#x27E8;hal-01638054&#x27E9;</a>","<i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Oct 2017, Valenciennes, France. pp.293-306"
