docid,halId_s,version_i,docType_s,citationFull_s,citationRef_s
5188705,hal-05188705,1,COMM,"Alain Durand. Ebauche d'une grammaire formelle du multimédia. Raccords spatio-temporels de vidéogrammes. <i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.101-113. <a target=""_blank"" href=""https://hal.science/hal-05188705v1"">&#x27E8;hal-05188705&#x27E9;</a>","<i>H2PTM'09 : Rétrospective et perspective : 1989 - 2009</i>, Sep 2009, Paris, France. pp.101-113"
5193339,hal-01711440,1,COMM,"Marie-Julie Catoir-Brisson. Santé mobile pour le suivi de l’insomnie chronique : design de services et sciences de l’information et de la communication. <i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Oct 2017, Valenciennes, France. pp.307-322. <a target=""_blank"" href=""https://hal.science/hal-01711440v1"">&#x27E8;hal-01711440&#x27E9;</a>","<i>H2PTM'17 : Le numérique à l’ère des designs, de l’hypertexte à l’hyper-expérience</i>, Oct 2017, Valenciennes, France. pp.307-322"
5191430,hal-05191430,1,COMM,"Florence Andreacola, Marie-Sylvie Poli, Éric Sanjuan. La participation informatique de l'usager d'un musée. <i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.331-345. <a target=""_blank"" href=""https://hal.science/hal-05191430v1"">&#x27E8;hal-05191430&#x27E9;</a>","<i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.331-345"
5189959,hal-05189959,1,COMM,"David Bertolo, Robin Vivian, Jérôme Dinet, Yann Lanuel. Les interfaces tactiles pour des situations collaboratives : vers de nouvelles grammaires de gestes permis par le multitouch. <i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.347-359. <a target=""_blank"" href=""https://hal.science/hal-05189959v1"">&#x27E8;hal-05189959&#x27E9;</a>","<i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.347-359"
4462724,hal-04462724,1,PROCEEDINGS,"Imad Saleh, Nasreddine Bouhai, Sylvie Leleu-Merviel, Ioan Roxin, Manuel Zacklad, et al.. La fabrique du sens à l’ère de l’information numérique : enjeux et défis. H2PTM’23. <i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. ISTE Éd., IX - 396 p., 2023, Systèmes d'information, web et société, 978-1-78405-983-5. <a target=""_blank"" href=""https://hal.science/hal-04462724v1"">&#x27E8;hal-04462724&#x27E9;</a>","<i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. ISTE Éd., IX - 396 p., 2023, Systèmes d'information, web et société, 978-1-78405-983-5"
464617,hal-00464617,1,COMM,"Alain Vaucelle. MPEG-21 : la norme des TICE du XXIème siècle ?. <i>H2PTM'09 : Rétrospective et Perspective 1989 - 2009</i>, Sep 2009, Saint-Denis, France. pp.115-121. <a target=""_blank"" href=""https://hal.science/hal-00464617v1"">&#x27E8;hal-00464617&#x27E9;</a>","<i>H2PTM'09 : Rétrospective et Perspective 1989 - 2009</i>, Sep 2009, Saint-Denis, France. pp.115-121"
5196004,hal-04404251,1,COMM,"Sophie Jehel, Pascal Martin. La (dé)construction du sens par la sociophotographie. Quand des photographes interrogent les pouvoirs des industries numériques par la recherche-création. <i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.321-338. <a target=""_blank"" href=""https://hal.science/hal-04404251v1"">&#x27E8;hal-04404251&#x27E9;</a>","<i>H2PTM'23 : La fabrique du sens à l’ère de l’information numérique : enjeux et défis</i>, Oct 2023, Valenciennes, France. pp.321-338"
5251196,hal-01340900,2,COMM,"Florent Di Bartolo. Transparence et opacité des objets communicants. <i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.75-87. <a target=""_blank"" href=""https://hal.science/hal-01340900v2"">&#x27E8;hal-01340900v2&#x27E9;</a>","<i>H2PTM'15 : Le numérique à l'ère de l'Internet des objets, de l’hypertexte à l’hyper-objet</i>, Oct 2015, Paris, France. pp.75-87"
5190260,sic_01831204,1,COMM,"Laurent Collet. Personnalisation de l’information sur le web et prégnances des habitudes. <i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Université Paris 8; CNRS; Crem; Laboratoire Paragraphe, Oct 2011, Metz, France. pp.29-40. <a target=""_blank"" href=""https://archivesic.ccsd.cnrs.fr/sic_01831204v1"">&#x27E8;sic_01831204&#x27E9;</a>","<i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Université Paris 8; CNRS; Crem; Laboratoire Paragraphe, Oct 2011, Metz, France. pp.29-40"
1575181,hal-01575181,1,COMM,"Fanny Georges, Nicolas Auray. Pratiques créatives issues du jeu vidéo Les séries de machinima. <i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.117-128. <a target=""_blank"" href=""https://hal.science/hal-01575181v1"">&#x27E8;hal-01575181&#x27E9;</a>","<i>H2PTM'11 : Hypermédias et pratiques numériques</i>, Oct 2011, Metz, France. pp.117-128"
