doc,act,tag
0,0,0
0,1,0
0,0,1
0,1,1
0,0,2
0,1,2
0,0,3
0,1,3
0,0,4
0,1,4
0,0,5
0,1,5
0,0,6
0,1,6
0,0,7
0,1,7
0,0,8
0,1,8
0,0,9
0,1,9
0,0,10
0,1,10
0,0,11
0,1,11
0,0,12
0,1,12
0,0,13
0,1,13
0,0,14
0,1,14
1,2,15
1,2,16
1,2,17
1,2,18
1,2,19
1,2,20
1,2,21
1,2,22
1,2,23
1,2,24
1,2,25
1,2,26
1,2,27
1,2,28
1,2,29
1,2,30
1,2,31
1,2,12
1,2,13
1,2,14
2,3,32
2,4,32
2,5,32
2,6,32
2,7,32
2,8,32
2,3,33
2,4,33
2,5,33
2,6,33
2,7,33
2,8,33
2,3,34
2,4,34
2,5,34
2,6,34
2,7,34
2,8,34
2,3,35
2,4,35
2,5,35
2,6,35
2,7,35
2,8,35
3,9,36
3,10,36
3,11,36
3,12,36
3,9,37
3,10,37
3,11,37
3,12,37
3,9,38
3,10,38
3,11,38
3,12,38
3,9,39
3,10,39
3,11,39
3,12,39
3,9,40
3,10,40
3,11,40
3,12,40
3,9,41
3,10,41
3,11,41
3,12,41
3,9,42
3,10,42
3,11,42
3,12,42
3,9,43
3,10,43
3,11,43
3,12,43
3,9,44
3,10,44
3,11,44
3,12,44
3,9,45
3,10,45
3,11,45
3,12,45
3,9,46
3,10,46
3,11,46
3,12,46
3,9,47
3,10,47
3,11,47
3,12,47
3,9,48
3,10,48
3,11,48
3,12,48
3,9,32
3,10,32
3,11,32
3,12,32
3,9,31
3,10,31
3,11,31
3,12,31
3,9,12
3,10,12
3,11,12
3,12,12
3,9,13
3,10,13
3,11,13
3,12,13
3,9,14
3,10,14
3,11,14
3,12,14
4,13,49
4,13,50
4,13,51
4,13,52
4,13,53
4,13,54
4,13,55
4,13,56
4,13,57
4,13,58
4,13,59
4,13,60
4,13,32
4,13,31
4,13,33
4,13,34
4,13,14
5,14,61
5,15,61
5,16,61
5,14,62
5,15,62
5,16,62
5,14,63
5,15,63
5,16,63
5,14,64
5,15,64
5,16,64
5,14,65
5,15,65
5,16,65
5,14,66
5,15,66
5,16,66
5,14,67
5,15,67
5,16,67
5,14,68
5,15,68
5,16,68
5,14,69
5,15,69
5,16,69
5,14,70
5,15,70
5,16,70
5,14,71
5,15,71
5,16,71
5,14,72
5,15,72
5,16,72
5,14,32
5,15,32
5,16,32
5,14,12
5,15,12
5,16,12
5,14,34
5,15,34
5,16,34
5,14,14
5,15,14
5,16,14
6,17,73
6,18,73
6,19,73
6,17,74
6,18,74
6,19,74
6,17,75
6,18,75
6,19,75
6,17,76
6,18,76
6,19,76
6,17,77
6,18,77
6,19,77
6,17,76
6,18,76
6,19,76
6,17,78
6,18,78
6,19,78
6,17,79
6,18,79
6,19,79
6,17,80
6,18,80
6,19,80
6,17,81
6,18,81
6,19,81
6,17,32
6,18,32
6,19,32
6,17,31
6,18,31
6,19,31
6,17,12
6,18,12
6,19,12
6,17,13
6,18,13
6,19,13
6,17,14
6,18,14
6,19,14
7,20,82
7,21,82
7,20,83
7,21,83
7,20,84
7,21,84
7,20,85
7,21,85
7,20,86
7,21,86
7,20,31
7,21,31
7,20,12
7,21,12
7,20,13
7,21,13
7,20,14
7,21,14
8,22,87
8,22,88
8,22,89
8,22,90
8,22,91
8,22,92
8,22,93
8,22,94
8,22,95
8,22,96
8,22,97
8,22,98
8,22,87
8,22,90
8,22,88
8,22,32
8,22,31
8,22,12
8,22,13
8,22,14
9,23,99
9,24,99
9,25,99
9,23,100
9,24,100
9,25,100
9,23,101
9,24,101
9,25,101
9,23,102
9,24,102
9,25,102
9,23,103
9,24,103
9,25,103
9,23,104
9,24,104
9,25,104
9,23,105
9,24,105
9,25,105
9,23,106
9,24,106
9,25,106
9,23,107
9,24,107
9,25,107
9,23,108
9,24,108
9,25,108
9,23,109
9,24,109
9,25,109
9,23,110
9,24,110
9,25,110
9,23,32
9,24,32
9,25,32
9,23,12
9,24,12
9,25,12
9,23,13
9,24,13
9,25,13
9,23,14
9,24,14
9,25,14
10,26,111
10,27,111
10,28,111
10,26,112
10,27,112
10,28,112
10,26,113
10,27,113
10,28,113
10,26,114
10,27,114
10,28,114
10,26,115
10,27,115
10,28,115
10,26,116
10,27,116
10,28,116
10,26,117
10,27,117
10,28,117
10,26,118
10,27,118
10,28,118
10,26,31
10,27,31
10,28,31
10,26,12
10,27,12
10,28,12
10,26,13
10,27,13
10,28,13
10,26,14
10,27,14
10,28,14
11,29,119
11,29,120
11,29,121
11,29,122
11,29,123
11,29,124
11,29,125
11,29,122
11,29,126
11,29,127
11,29,32
11,29,12
11,29,13
11,29,14
12,30,128
12,31,128
12,32,128
12,33,128
12,34,128
12,30,129
12,31,129
12,32,129
12,33,129
12,34,129
12,30,130
12,31,130
12,32,130
12,33,130
12,34,130
12,30,131
12,31,131
12,32,131
12,33,131
12,34,131
12,30,132
12,31,132
12,32,132
12,33,132
12,34,132
12,30,133
12,31,133
12,32,133
12,33,133
12,34,133
12,30,134
12,31,134
12,32,134
12,33,134
12,34,134
12,30,135
12,31,135
12,32,135
12,33,135
12,34,135
12,30,136
12,31,136
12,32,136
12,33,136
12,34,136
12,30,137
12,31,137
12,32,137
12,33,137
12,34,137
12,30,31
12,31,31
12,32,31
12,33,31
12,34,31
12,30,138
12,31,138
12,32,138
12,33,138
12,34,138
12,30,139
12,31,139
12,32,139
12,33,139
12,34,139
12,30,140
12,31,140
12,32,140
12,33,140
12,34,140
12,30,12
12,31,12
12,32,12
12,33,12
12,34,12
12,30,13
12,31,13
12,32,13
12,33,13
12,34,13
12,30,14
12,31,14
12,32,14
12,33,14
12,34,14
13,35,141
13,36,141
13,37,141
13,35,142
13,36,142
13,37,142
13,35,143
13,36,143
13,37,143
13,35,144
13,36,144
13,37,144
13,35,145
13,36,145
13,37,145
13,35,146
13,36,146
13,37,146
13,35,147
13,36,147
13,37,147
13,35,148
13,36,148
13,37,148
13,35,149
13,36,149
13,37,149
13,35,150
13,36,150
13,37,150
13,35,32
13,36,32
13,37,32
13,35,33
13,36,33
13,37,33
13,35,34
13,36,34
13,37,34
13,35,14
13,36,14
13,37,14
14,38,121
14,38,151
14,38,152
14,38,153
14,38,154
14,38,56
14,38,126
14,38,155
14,38,156
14,38,157
14,38,32
14,38,12
14,38,13
14,38,14
15,39,158
15,40,158
15,6,158
15,39,159
15,40,159
15,6,159
15,39,160
15,40,160
15,6,160
15,39,161
15,40,161
15,6,161
15,39,162
15,40,162
15,6,162
15,39,163
15,40,163
15,6,163
15,39,164
15,40,164
15,6,164
15,39,165
15,40,165
15,6,165
15,39,166
15,40,166
15,6,166
15,39,167
15,40,167
15,6,167
15,39,32
15,40,32
15,6,32
15,39,31
15,40,31
15,6,31
15,39,12
15,40,12
15,6,12
15,39,13
15,40,13
15,6,13
15,39,14
15,40,14
15,6,14
16,41,168
16,42,168
16,43,168
16,41,169
16,42,169
16,43,169
16,41,170
16,42,170
16,43,170
16,41,171
16,42,171
16,43,171
16,41,172
16,42,172
16,43,172
16,41,65
16,42,65
16,43,65
16,41,173
16,42,173
16,43,173
16,41,174
16,42,174
16,43,174
16,41,175
16,42,175
16,43,175
16,41,176
16,42,176
16,43,176
16,41,177
16,42,177
16,43,177
16,41,169
16,42,169
16,43,169
16,41,178
16,42,178
16,43,178
16,41,66
16,42,66
16,43,66
16,41,179
16,42,179
